track,trackid,track_uri,album_name,album_id,artist,duration,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Are 'Friends' Electric?,0pBAj5nQlOu3yVGAUPvKSa,5vdSjaab1avSxtblX02Wyz,Replicas (Remastered),0pBAj5nQlOu3yVGAUPvKSa,Gary Numan / Tubeway Army,325200,FALSE,2,0.424,0.744,5,-9.787,1,0.0379,0.0291,0.163,0.174,0.425,93.9,audio_features,spotify:track:5vdSjaab1avSxtblX02Wyz,https://api.spotify.com/v1/tracks/5vdSjaab1avSxtblX02Wyz,https://api.spotify.com/v1/audio-analysis/5vdSjaab1avSxtblX02Wyz,325200,4
Dead Disco Dancer,2EMlBanjE6XxDr1bLEHZ8g,6MB7PkByiFQyei8gq4KDSu,O Children,2EMlBanjE6XxDr1bLEHZ8g,O. Children,226813,FALSE,16,0.674,0.825,9,-5.082,0,0.0303,4.48e-4,0.544,0.149,0.83,130,audio_features,spotify:track:6MB7PkByiFQyei8gq4KDSu,https://api.spotify.com/v1/tracks/6MB7PkByiFQyei8gq4KDSu,https://api.spotify.com/v1/audio-analysis/6MB7PkByiFQyei8gq4KDSu,226813,4
Cheval noir,2VR0eAvJRcxpfH2sWIcsXP,0M4yGvsHFNAfawGwH29PzF,The Lava - EP,2VR0eAvJRcxpfH2sWIcsXP,Equateur,247426,FALSE,0,0.714,0.551,8,-9.399,0,0.0354,0.0516,0.88,0.0814,0.25,105.022,audio_features,spotify:track:0M4yGvsHFNAfawGwH29PzF,https://api.spotify.com/v1/tracks/0M4yGvsHFNAfawGwH29PzF,https://api.spotify.com/v1/audio-analysis/0M4yGvsHFNAfawGwH29PzF,247426,4
Slums Still Stand,0P9UH1KuvMiYDpbtGr0hz7,0f0qUHoYZbbnKZhinuf1v3,Return of the Ranters,0P9UH1KuvMiYDpbtGr0hz7,Normil Hawaiians,211715,FALSE,0,0.194,0.684,2,-6.274,1,0.0404,0.394,0.0959,0.378,0.25,129.282,audio_features,spotify:track:0f0qUHoYZbbnKZhinuf1v3,https://api.spotify.com/v1/tracks/0f0qUHoYZbbnKZhinuf1v3,https://api.spotify.com/v1/audio-analysis/0f0qUHoYZbbnKZhinuf1v3,211715,3
Wrong,2hNLDFRdi1Yz3Qj9kg0QAd,3Y8pg3FF5FivDAboCKnGOP,Sounds Of The Universe,2hNLDFRdi1Yz3Qj9kg0QAd,Depeche Mode,193680,FALSE,7,0.518,0.876,11,-3.276,0,0.035,0.167,0,0.247,0.242,81.885,audio_features,spotify:track:3Y8pg3FF5FivDAboCKnGOP,https://api.spotify.com/v1/tracks/3Y8pg3FF5FivDAboCKnGOP,https://api.spotify.com/v1/audio-analysis/3Y8pg3FF5FivDAboCKnGOP,193680,4
Spacer Woman - Original Version,2GGt5VQ3oSmZQj1mgzJL7y,70bVL8A7laNCj48wn8Q4BL,Spacer,2GGt5VQ3oSmZQj1mgzJL7y,Charlie,442626,FALSE,41,0.752,0.905,1,-9.54,0,0.0467,1.16e-4,0.763,0.0806,0.595,123.02,audio_features,spotify:track:70bVL8A7laNCj48wn8Q4BL,https://api.spotify.com/v1/tracks/70bVL8A7laNCj48wn8Q4BL,https://api.spotify.com/v1/audio-analysis/70bVL8A7laNCj48wn8Q4BL,442627,4
Je Suis Passée,1n7KyYkFex2edFYuC0KcVB,0miCvVu6YqhIvqQUjPCrV6,Clean Tables Have To Be Burnt,1n7KyYkFex2edFYuC0KcVB,Hard Corps,431781,FALSE,11,0.656,0.844,2,-5.902,1,0.037,0.0111,0.163,0.054,0.95,128.435,audio_features,spotify:track:0miCvVu6YqhIvqQUjPCrV6,https://api.spotify.com/v1/tracks/0miCvVu6YqhIvqQUjPCrV6,https://api.spotify.com/v1/audio-analysis/0miCvVu6YqhIvqQUjPCrV6,431781,4
Fashion Party,6x8CDTIt6E5Q2ddjBrTz0i,0zw8Dc2ldkh9KxQBF1Bw8a,Fashion Party,6x8CDTIt6E5Q2ddjBrTz0i,The Neon Judgement,316146,FALSE,0,0.791,0.467,9,-18.734,0,0.0866,3.45e-4,0.744,0.0495,0.713,132.85,audio_features,spotify:track:0zw8Dc2ldkh9KxQBF1Bw8a,https://api.spotify.com/v1/tracks/0zw8Dc2ldkh9KxQBF1Bw8a,https://api.spotify.com/v1/audio-analysis/0zw8Dc2ldkh9KxQBF1Bw8a,316147,4
The Model - 2009 Remastered Version,3eyz60xEK5dGEeZF1JJSi9,1FL9DHDSED6lxNMDJUJQvB,The Man Machine (2009 Remastered Version),3eyz60xEK5dGEeZF1JJSi9,Kraftwerk,220533,FALSE,60,0.708,0.683,4,-7.768,0,0.0344,0.00122,0.643,0.121,0.463,123.602,audio_features,spotify:track:1FL9DHDSED6lxNMDJUJQvB,https://api.spotify.com/v1/tracks/1FL9DHDSED6lxNMDJUJQvB,https://api.spotify.com/v1/audio-analysis/1FL9DHDSED6lxNMDJUJQvB,220533,4
Tishina,5cPD0ucTL8FkM0Zgd1kikj,2bZI6zpbT3xw9HnV8U3GVd,Phantom Love: Selected Mannequin Records 2012,5cPD0ucTL8FkM0Zgd1kikj,Newclear Waves,202396,FALSE,1,0.476,0.923,6,-7.145,1,0.0408,0.0158,0.967,0.117,0.347,149.975,audio_features,spotify:track:2bZI6zpbT3xw9HnV8U3GVd,https://api.spotify.com/v1/tracks/2bZI6zpbT3xw9HnV8U3GVd,https://api.spotify.com/v1/audio-analysis/2bZI6zpbT3xw9HnV8U3GVd,202397,4
