Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-04-09T17:14:35Z,FALSE,Bruz Running,10.04,861,00:54:15,159,170,4.2,160,168,5:24,4:31,50,50,1.16,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,00:14:00,11,0
Running,2020-04-07T18:10:54Z,FALSE,Bruz Running,5.39,443,00:30:02,148,158,3.0,161,168,5:34,5:00,25,24,1.12,0,0,0,0.0,0,--,--,--,00:00:00,21,00:00:00,No,02:17:00,6,0
Running,2020-04-05T17:10:16Z,FALSE,Bruz Running,9.12,753,00:49:14,155,176,3.7,161,169,5:24,4:31,45,45,1.15,0,0,0,0.0,0,--,--,--,00:00:00,26,00:00:00,No,00:32:00,10,0
Running,2020-04-04T17:01:10Z,FALSE,Bruz Running,10.02,821,00:52:36,157,174,4.1,159,169,5:15,4:19,58,49,1.2,0,0,0,0.0,0,--,--,--,00:00:00,22,00:00:00,No,00:05:00,11,0
Running,2020-04-01T17:08:47Z,FALSE,Bruz Running,8.12,684,00:45:05,153,165,3.6,158,168,5:33,4:05,55,48,1.14,0,0,0,0.0,0,--,--,--,00:00:00,19,00:00:00,No,00:39:00,9,0
Running,2020-03-29T17:22:13Z,FALSE,Bruz Running,6.50,536,00:36:37,149,160,3.1,161,174,5:38,5:06,52,48,1.11,0,0,0,0.0,0,--,--,--,00:00:00,18,00:00:00,No,03:02:00,7,0
Running,2020-03-28T17:49:47Z,FALSE,Bruz Running,5.54,449,00:31:55,144,157,2.8,158,167,5:46,5:05,39,36,1.1,0,0,0,0.0,0,--,--,--,00:00:00,19,00:00:00,No,03:06:00,6,0
Running,2020-03-27T16:25:18Z,FALSE,Bruz Running,9.02,740,00:47:23,156,166,3.7,159,166,5:15,4:42,78,70,1.2,0,0,0,0.0,0,--,--,--,00:00:00,20,00:00:00,No,00:04:00,10,0
Running,2020-03-25T18:38:06Z,FALSE,Bruz Running,7.66,610,00:41:53,148,158,3.3,158,164,5:28,4:45,56,45,1.16,0,0,0,0.0,0,--,--,--,00:00:00,16,00:00:00,No,03:34:00,8,0
Running,2020-03-24T16:39:02Z,FALSE,Bruz Running,6.23,524,00:33:41,155,174,3.5,158,167,5:24,5:01,53,44,1.17,0,0,0,0.0,0,--,--,--,00:00:00,20,00:00:00,No,01:14:00,7,0
